team_id,player_out_id,player_in_id,times,avg_minute,min_minute,max_minute,role_out,role_in
36,389315.0,1161,3,71.66666666666667,67,77,,
47,129711.0,336564,3,70.66666666666667,54,80,,
65,18931.0,9366,3,80.0,73,88,,
746,349799.0,84087,3,68.0,63,76,,
33,747.0,115589,2,62.5,53,72,,
33,891.0,2935,2,83.5,80,87,,
34,169.0,284492,2,69.0,62,76,,
34,18778.0,315237,2,83.0,76,90,,
35,18869.0,20093,2,58.0,26,90,,
35,304853.0,1125,2,64.5,63,66,,
35,18870.0,129682,2,65.0,64,66,,
36,2920.0,19221,2,61.0,60,62,,
36,19032.0,19549,2,64.5,62,67,,
36,195106.0,2887,2,65.0,59,71,,
36,1455.0,18753,2,75.0,66,84,,
39,265782.0,280687,2,59.0,46,72,,
39,265784.0,391822,2,68.0,64,72,,
39,2032.0,24888,2,80.0,78,82,,
40,6716.0,293,2,66.5,61,72,,
40,174565.0,30410,2,79.5,79,80,,
42,157052.0,313245,2,68.0,64,72,,
42,136723.0,442044,2,76.5,64,89,,
44,270508.0,20303,2,72.5,69,76,,
44,180560.0,161621,2,74.0,65,83,,
44,22.0,128895,2,76.0,69,83,,
44,98936.0,36927,2,80.0,74,86,,
47,2413.0,18883,2,74.5,71,78,,
48,25391.0,2939,2,55.0,46,64,,
49,425733.0,286894,2,72.5,68,77,,
50,81573.0,1422,2,63.0,54,72,,
50,636.0,307123,2,69.0,66,72,,
52,288102.0,2490,2,69.0,56,82,,
55,292.0,15799,2,70.0,69,71,,
63,19329.0,50739,2,63.0,60,66,,
63,250.0,19461,2,68.0,58,78,,
63,32966.0,18901,2,74.0,58,90,,
746,301771.0,20638,2,69.5,63,76,,
746,327631.0,392270,2,83.5,80,87,,
33,1165.0,70100,1,31.0,31,31,,
33,19220.0,284322,1,46.0,46,46,,
33,157997.0,886,1,52.0,52,52,,
33,886.0,157997,1,55.0,55,55,,
33,747.0,51494,1,65.0,65,65,,
33,19220.0,115589,1,65.0,65,65,,
33,19220.0,51494,1,69.0,69,69,,
33,342970.0,545,1,85.0,85,85,,
33,342970.0,402329,1,87.0,87,87,,
34,19192.0,328105,1,46.0,46,46,,
34,19163.0,153430,1,62.0,62,62,,
34,31146.0,328105,1,66.0,66,66,,
34,38734.0,18778,1,69.0,69,69,,
34,723.0,19192,1,76.0,76,76,,
34,153430.0,19163,1,78.0,78,78,,
34,2806.0,163189,1,81.0,81,81,,
34,723.0,328105,1,83.0,83,83,,
35,304853.0,31057,1,74.0,74,74,,
35,19245.0,792,1,78.0,78,78,,
35,19245.0,368030,1,81.0,81,81,,
35,152856.0,792,1,81.0,81,81,,
35,18870.0,402432,1,84.0,84,84,,
35,1150.0,20093,1,88.0,88,88,,
35,152856.0,368030,1,88.0,88,88,,
35,1150.0,368030,1,90.0,90,90,,
36,1934.0,19025,1,66.0,66,66,,
36,2887.0,195106,1,66.0,66,66,,
36,131.0,2920,1,84.0,84,84,,
39,285.0,296560,1,35.0,35,35,,
39,20665.0,265784,1,46.0,46,46,,
39,13708.0,135334,1,56.0,56,56,,
39,296560.0,282770,1,63.0,63,63,,
39,13708.0,20665,1,64.0,64,64,,
39,285.0,282770,1,73.0,73,73,,
39,20665.0,13708,1,73.0,73,73,,
39,280687.0,265782,1,75.0,75,75,,
39,24888.0,7722,1,76.0,76,76,,
40,152654.0,8500,1,60.0,60,60,,
40,206254.0,289,1,60.0,60,60,,
40,174565.0,284,1,72.0,72,72,,
40,1145.0,284,1,79.0,79,79,,
40,203224.0,180317,1,80.0,80,80,,
40,203224.0,30410,1,82.0,82,82,,
40,203224.0,8500,1,89.0,89,89,,
40,247.0,452685,1,90.0,90,90,,
40,293.0,19035,1,90.0,90,90,,
40,306.0,8500,1,90.0,90,90,,
42,22090.0,333682,1,5.0,5,5,,
42,37127.0,313236,1,38.0,38,38,,
42,1460.0,1946,1,53.0,53,53,,
42,18979.0,978,1,60.0,60,60,,
42,127769.0,136723,1,60.0,60,60,,
42,38746.0,333682,1,64.0,64,64,,
42,47311.0,37127,1,70.0,70,70,,
42,127769.0,19586,1,70.0,70,70,,
42,19959.0,38746,1,71.0,71,71,,
42,2937.0,47311,1,83.0,83,83,,
44,20303.0,270508,1,63.0,63,63,,
44,180560.0,22,1,63.0,63,63,,
44,128895.0,161621,1,74.0,74,74,,
44,47903.0,1746,1,83.0,83,83,,
44,179400.0,1746,1,83.0,83,83,,
44,196855.0,37882,1,85.0,85,85,,
45,18592.0,195993,1,64.0,64,64,,
45,343684.0,125743,1,64.0,64,64,,
45,284500.0,18929,1,71.0,71,71,,
45,284500.0,19187,1,71.0,71,71,,
45,2990.0,284500,1,76.0,76,76,,
45,125743.0,343684,1,76.0,76,76,,
45,195993.0,343684,1,86.0,86,86,,
45,19187.0,195993,1,88.0,88,88,,
45,18592.0,18758,1,90.0,90,90,,
45,19187.0,405360,1,90.0,90,90,,
47,41104.0,347316,1,54.0,54,54,,
47,47519.0,204039,1,71.0,71,71,,
47,328089.0,863,1,71.0,71,71,,
47,237129.0,270510,1,76.0,76,76,,
47,347316.0,41104,1,80.0,80,80,,
47,15911.0,270510,1,85.0,85,85,,
47,15911.0,347316,1,86.0,86,86,,
47,41104.0,25287,1,90.0,90,90,,
48,138.0,284446,1,46.0,46,46,,
48,1243.0,171,1,70.0,70,70,,
48,2476.0,2939,1,71.0,71,71,,
48,2938.0,1243,1,71.0,71,71,,
48,2938.0,68466,1,75.0,75,75,,
48,138.0,68466,1,82.0,82,82,,
48,336585.0,37724,1,82.0,82,82,,
49,161948.0,334037,1,14.0,14,14,,
49,286894.0,425733,1,54.0,54,54,,
49,161948.0,305834,1,62.0,62,62,,
49,19720.0,22094,1,69.0,69,69,,
49,47380.0,341642,1,69.0,69,69,,
49,161907.0,19545,1,69.0,69,69,,
49,10329.0,161948,1,73.0,73,73,,
49,5996.0,305834,1,79.0,79,79,,
49,19545.0,161907,1,79.0,79,79,,
49,1864.0,19545,1,81.0,81,81,,
49,,305834,1,81.0,81,81,,
50,21138.0,18861,1,23.0,23,23,,
50,156477.0,636,1,54.0,54,54,,
50,1422.0,81573,1,66.0,66,66,,
50,284230.0,41621,1,66.0,66,66,,
50,1100.0,156477,1,73.0,73,73,,
50,161933.0,44,1,75.0,75,75,,
50,278133.0,631,1,75.0,75,75,,
50,626.0,360114,1,82.0,82,82,,
50,41621.0,284230,1,85.0,85,85,,
50,360114.0,567,1,85.0,85,85,,
51,356041.0,305730,1,46.0,46,46,,
51,356041.0,296,1,60.0,60,60,,
51,1469.0,90590,1,61.0,61,61,,
51,278370.0,328225,1,61.0,61,61,,
51,305730.0,265820,1,61.0,61,61,,
51,162007.0,1361,1,67.0,67,67,,
51,265820.0,278370,1,67.0,67,67,,
51,90590.0,1469,1,69.0,69,69,,
51,356041.0,278370,1,69.0,69,69,,
51,383685.0,1361,1,69.0,69,69,,
51,106835.0,328225,1,83.0,83,83,,
51,92993.0,328225,1,85.0,85,85,,
51,19030.0,296,1,88.0,88,88,,
51,383685.0,342063,1,90.0,90,90,,
52,286458.0,402640,1,66.0,66,66,,
52,18806.0,2490,1,70.0,70,70,,
52,18806.0,184226,1,71.0,71,71,,
52,19586.0,286458,1,84.0,84,84,,
52,25927.0,286458,1,85.0,85,85,,
52,2601.0,18862,1,86.0,86,86,,
52,25927.0,1135,1,88.0,88,88,,
55,319517.0,178077,1,46.0,46,46,,
55,47438.0,292,1,69.0,69,69,,
55,106725.0,15799,1,69.0,69,69,,
55,106725.0,19346,1,72.0,72,72,,
55,178077.0,44871,1,79.0,79,79,,
55,263538.0,47438,1,79.0,79,79,,
55,284797.0,19346,1,84.0,84,84,,
55,342022.0,1119,1,85.0,85,85,,
55,19346.0,44871,1,88.0,88,88,,
55,178077.0,153066,1,90.0,90,90,,
63,162128.0,19128,1,60.0,60,60,,
63,162128.0,48389,1,66.0,66,66,,
63,162128.0,50739,1,67.0,67,67,,
63,19461.0,18766,1,70.0,70,70,,
63,2279.0,129142,1,78.0,78,78,,
63,19329.0,19128,1,78.0,78,78,,
63,47969.0,19760,1,80.0,80,80,,
63,19201.0,19287,1,83.0,83,83,,
65,48648.0,158697,1,58.0,58,58,,
65,48648.0,147831,1,71.0,71,71,,
65,2298.0,158697,1,72.0,72,72,,
65,48648.0,141901,1,79.0,79,79,,
65,18746.0,284428,1,82.0,82,82,,
65,18746.0,19305,1,84.0,84,84,,
65,22149.0,19305,1,88.0,88,88,,
65,2298.0,284428,1,89.0,89,89,,
65,22149.0,147831,1,89.0,89,89,,
66,1904.0,19071,1,16.0,16,16,,
66,137303.0,19071,1,46.0,46,46,,
66,2724.0,138816,1,64.0,64,64,,
66,162714.0,249,1,64.0,64,64,,
66,19191.0,46815,1,74.0,74,74,,
66,19191.0,284457,1,74.0,74,74,,
66,19298.0,453101,1,74.0,74,74,,
66,,137303,1,75.0,75,75,,
66,249.0,2724,1,83.0,83,83,,
66,19191.0,249,1,84.0,84,84,,
66,138816.0,284457,1,84.0,84,84,,
746,55904.0,290545,1,9.0,9,9,,
746,290545.0,6168,1,53.0,53,53,,
746,336659.0,47521,1,63.0,63,63,,
746,336659.0,301771,1,65.0,65,65,,
746,336659.0,339201,1,90.0,90,90,,
