team_id,matches,home_matches,away_matches,goals_for,goals_against,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,tackles,dribbles,goals_for_per_match,goals_against_per_match,shots_total_per_match,shots_on_per_match,fouls_committed_per_match,fouls_drawn_per_match,yellow_cards_per_match,red_cards_per_match,tackles_per_match,dribbles_per_match
33,3,2,1,4,4,42.0,16.0,29.0,38.0,3,0,55.0,31.0,1.3333333333333333,1.3333333333333333,14.0,5.333333333333333,9.666666666666666,12.666666666666666,1.0,0.0,18.333333333333332,10.333333333333334
34,3,1,2,2,3,21.0,8.0,43.0,38.0,4,1,32.0,40.0,0.6666666666666666,1.0,7.0,2.6666666666666665,14.333333333333334,12.666666666666666,1.3333333333333333,0.3333333333333333,10.666666666666666,13.333333333333334
35,3,1,2,4,4,31.0,13.0,36.0,39.0,8,0,60.0,57.0,1.3333333333333333,1.3333333333333333,10.333333333333334,4.333333333333333,12.0,13.0,2.6666666666666665,0.0,20.0,19.0
36,3,1,2,2,4,23.0,9.0,44.0,36.0,6,0,54.0,41.0,0.6666666666666666,1.3333333333333333,7.666666666666667,3.0,14.666666666666666,12.0,2.0,0.0,18.0,13.666666666666666
39,3,2,1,2,8,17.0,8.0,44.0,29.0,5,1,69.0,28.0,0.6666666666666666,2.6666666666666665,5.666666666666667,2.6666666666666665,14.666666666666666,9.666666666666666,1.6666666666666667,0.3333333333333333,23.0,9.333333333333334
40,3,2,1,8,4,26.0,17.0,29.0,36.0,6,0,40.0,39.0,2.6666666666666665,1.3333333333333333,8.666666666666666,5.666666666666667,9.666666666666666,12.0,2.0,0.0,13.333333333333334,13.0
42,3,1,2,6,1,24.0,9.0,37.0,28.0,6,0,45.0,57.0,2.0,0.3333333333333333,8.0,3.0,12.333333333333334,9.333333333333334,2.0,0.0,15.0,19.0
44,3,1,2,4,6,21.0,9.0,26.0,28.0,5,0,48.0,26.0,1.3333333333333333,2.0,7.0,3.0,8.666666666666666,9.333333333333334,1.6666666666666667,0.0,16.0,8.666666666666666
45,3,1,2,5,3,20.0,8.0,25.0,36.0,7,0,47.0,54.0,1.6666666666666667,1.0,6.666666666666667,2.6666666666666665,8.333333333333334,12.0,2.3333333333333335,0.0,15.666666666666666,18.0
47,3,2,1,5,1,29.0,12.0,43.0,27.0,6,0,52.0,64.0,1.6666666666666667,0.3333333333333333,9.666666666666666,4.0,14.333333333333334,9.0,2.0,0.0,17.333333333333332,21.333333333333332
48,3,1,2,4,8,27.0,16.0,23.0,30.0,1,0,39.0,49.0,1.3333333333333333,2.6666666666666665,9.0,5.333333333333333,7.666666666666667,10.0,0.3333333333333333,0.0,13.0,16.333333333333332
49,3,2,1,7,1,28.0,16.0,31.0,33.0,5,0,51.0,51.0,2.3333333333333335,0.3333333333333333,9.333333333333334,5.333333333333333,10.333333333333334,11.0,1.6666666666666667,0.0,17.0,17.0
50,3,1,2,5,4,29.0,11.0,28.0,40.0,5,0,53.0,63.0,1.6666666666666667,1.3333333333333333,9.666666666666666,3.6666666666666665,9.333333333333334,13.333333333333334,1.6666666666666667,0.0,17.666666666666668,21.0
51,3,2,1,3,4,27.0,15.0,47.0,34.0,8,0,53.0,38.0,1.0,1.3333333333333333,9.0,5.0,15.666666666666666,11.333333333333334,2.6666666666666665,0.0,17.666666666666668,12.666666666666666
52,3,1,2,4,1,20.0,12.0,37.0,28.0,9,0,62.0,22.0,1.3333333333333333,0.3333333333333333,6.666666666666667,4.0,12.333333333333334,9.333333333333334,3.0,0.0,20.666666666666668,7.333333333333333
55,3,1,2,3,5,19.0,9.0,38.0,24.0,5,0,56.0,48.0,1.0,1.6666666666666667,6.333333333333333,3.0,12.666666666666666,8.0,1.6666666666666667,0.0,18.666666666666668,16.0
63,3,2,1,1,5,18.0,5.0,27.0,30.0,3,0,50.0,39.0,0.3333333333333333,1.6666666666666667,6.0,1.6666666666666667,9.0,10.0,1.0,0.0,16.666666666666668,13.0
65,3,2,1,4,5,23.0,9.0,32.0,31.0,4,0,43.0,48.0,1.3333333333333333,1.6666666666666667,7.666666666666667,3.0,10.666666666666666,10.333333333333334,1.3333333333333333,0.0,14.333333333333334,16.0
66,3,2,1,0,4,24.0,9.0,29.0,35.0,5,1,36.0,53.0,0.0,1.3333333333333333,8.0,3.0,9.666666666666666,11.666666666666666,1.6666666666666667,0.3333333333333333,12.0,17.666666666666668
746,3,2,1,5,3,22.0,9.0,24.0,29.0,4,0,60.0,23.0,1.6666666666666667,1.0,7.333333333333333,3.0,8.0,9.666666666666666,1.3333333333333333,0.0,20.0,7.666666666666667
